Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
72,Data Store Inaccessible,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
1,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
2,Spoofing of Source Data Store Load balancer,Spoofing,Diagram 1,HTTPS,High,Not Started,,Load balancer may be spoofed by an attacker and this may lead to incorrect data delivered to Web Application. Consider using a standard authentication mechanism to identify the source data store.,,Generated
3,Weak Access Control for a Resource,Information Disclosure,Diagram 1,HTTPS,High,Not Started,,Improper data protection of Load balancer can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
4,Web Application Process Memory Tampered,Tampering,Diagram 1,HTTPS,High,Not Started,,"If Web Application is given access to memory, such as shared memory or pointers, or is given the ability to control what Security Server executes (for example, passing back a function pointer.), then Web Application can tamper with Security Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
5,Replay Attacks,Tampering,Diagram 1,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
6,Collision Attacks,Tampering,Diagram 1,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
7,Weak Authentication Scheme,Information Disclosure,Diagram 1,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
8,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,Security Server may be able to impersonate the context of Web Application in order to gain additional privilege.,,Generated
9,Visualization server Process Memory Tampered,Tampering,Diagram 1,HTTPS,High,Not Started,,"If Visualization server is given access to memory, such as shared memory or pointers, or is given the ability to control what Web Application executes (for example, passing back a function pointer.), then Visualization server can tamper with Web Application. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
10,Replay Attacks,Tampering,Diagram 1,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
11,Collision Attacks,Tampering,Diagram 1,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
12,Weak Authentication Scheme,Information Disclosure,Diagram 1,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
13,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,Web Application may be able to impersonate the context of Visualization server in order to gain additional privilege.,,Generated
14,Web Application Process Memory Tampered,Tampering,Diagram 1,HTTPS,High,Not Started,,"If Web Application is given access to memory, such as shared memory or pointers, or is given the ability to control what Visualization server executes (for example, passing back a function pointer.), then Web Application can tamper with Visualization server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
15,Replay Attacks,Tampering,Diagram 1,HTTPS,High,Not Started,,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
16,Collision Attacks,Tampering,Diagram 1,HTTPS,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
17,Weak Authentication Scheme,Information Disclosure,Diagram 1,HTTPS,High,Not Started,,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",,Generated
18,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,Visualization server may be able to impersonate the context of Web Application in order to gain additional privilege.,,Generated
19,JavaScript Object Notation Processing,Tampering,Diagram 1,HTTPS,High,Not Started,,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.",,Generated
20,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,Visualization server may be able to impersonate the context of manager in order to gain additional privilege.,,Generated
21,JavaScript Object Notation Processing,Tampering,Diagram 1,HTTPS,High,Not Started,,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.",,Generated
22,Potential Data Repudiation by Web Application,Repudiation,Diagram 1,HTTPS,High,Not Started,,"Web Application claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
23,Weak Access Control for a Resource,Information Disclosure,Diagram 1,HTTPS,High,Not Started,,Improper data protection of Load balancer can allow an attacker to read information not intended for disclosure. Review authorization settings.,,Generated
24,Potential Process Crash or Stop for Web Application,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,"Web Application crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
25,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
