Id,Title,Category,Diagram,Interaction,Priority,State,Description,Justificación
1,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Protegido mediante el uso de HTTPS (REQS4), mitigando el riesgo de intercepción (RIDT)."
2,Spoofing of Source Data Store Load balancer,Spoofing,Diagram 1,HTTPS,High,Not Started,Load balancer may be spoofed by an attacker and this may lead to incorrect data delivered to Web Application. Consider using a standard authentication mechanism to identify the source data store.,
3,Weak Access Control for a Resource,Information Disclosure,Diagram 1,HTTPS,High,Mitigated,Improper data protection of Load balancer can allow an attacker to read information not intended for disclosure. Review authorization settings.,"Control de acceso y políticas de mínimo privilegio implementadas (REQS1, REQS8)."
4,Web Application Process Memory Tampered,Tampering,Diagram 1,HTTPS,High,Mitigated,"If Web Application is given access to memory, such as shared memory or pointers, or is given the ability to control what Security Server executes (for example, passing back a function pointer.), then Web Application can tamper with Security Server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Protección de integridad en backend y visualización mediante arquitectura desacoplada (REQS5).
5,Replay Attacks,Tampering,Diagram 1,HTTPS,High,Mitigated,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"Protección contra reuso de tokens, incluido en prácticas de seguridad del JWT (REQS3)."
6,Collision Attacks,Tampering,Diagram 1,HTTPS,High,Mitigated,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","Integridad de datos garantizada, evitando colisiones en procesamiento y almacenamiento (REQS5)."
7,Weak Authentication Scheme,Information Disclosure,Diagram 1,HTTPS,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",Autenticación segura con JWT RS256 (REQS3).
8,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Mitigated,Security Server may be able to impersonate the context of Web Application in order to gain additional privilege.,"Autenticación fuerte y mínima exposición de credenciales (REQS3, REQS8)."
9,Visualization server Process Memory Tampered,Tampering,Diagram 1,HTTPS,High,Mitigated,"If Visualization server is given access to memory, such as shared memory or pointers, or is given the ability to control what Web Application executes (for example, passing back a function pointer.), then Visualization server can tamper with Web Application. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Protección de integridad en backend y visualización mediante arquitectura desacoplada (REQS5).
10,Replay Attacks,Tampering,Diagram 1,HTTPS,High,Mitigated,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"Protección contra reuso de tokens, incluido en prácticas de seguridad del JWT (REQS3)."
11,Collision Attacks,Tampering,Diagram 1,HTTPS,High,Mitigated,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","Integridad de datos garantizada, evitando colisiones en procesamiento y almacenamiento (REQS5)."
12,Weak Authentication Scheme,Information Disclosure,Diagram 1,HTTPS,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",Autenticación segura con JWT RS256 (REQS3).
13,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Mitigated,Web Application may be able to impersonate the context of Visualization server in order to gain additional privilege.,"Autenticación fuerte y mínima exposición de credenciales (REQS3, REQS8)."
14,Web Application Process Memory Tampered,Tampering,Diagram 1,HTTPS,High,Mitigated,"If Web Application is given access to memory, such as shared memory or pointers, or is given the ability to control what Visualization server executes (for example, passing back a function pointer.), then Web Application can tamper with Visualization server. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",Protección de integridad en backend y visualización mediante arquitectura desacoplada (REQS5).
15,Replay Attacks,Tampering,Diagram 1,HTTPS,High,Mitigated,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"Protección contra reuso de tokens, incluido en prácticas de seguridad del JWT (REQS3)."
16,Collision Attacks,Tampering,Diagram 1,HTTPS,High,Mitigated,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","Integridad de datos garantizada, evitando colisiones en procesamiento y almacenamiento (REQS5)."
17,Weak Authentication Scheme,Information Disclosure,Diagram 1,HTTPS,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.",Autenticación segura con JWT RS256 (REQS3).
18,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Mitigated,Visualization server may be able to impersonate the context of Web Application in order to gain additional privilege.,"Autenticación fuerte y mínima exposición de credenciales (REQS3, REQS8)."
19,JavaScript Object Notation Processing,Tampering,Diagram 1,HTTPS,High,Not Started,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.",
20,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Mitigated,Visualization server may be able to impersonate the context of manager in order to gain additional privilege.,"Autenticación fuerte y mínima exposición de credenciales (REQS3, REQS8)."
21,JavaScript Object Notation Processing,Tampering,Diagram 1,HTTPS,High,Mitigated,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.","Validación y sanitización de entradas para prevenir inyecciones (REQS2, REQS9)."
22,Potential Data Repudiation by Web Application,Repudiation,Diagram 1,HTTPS,High,Mitigated,"Web Application claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Amenaza mitigada mediante controles definidos en SDL e ISO 12207.
23,Weak Access Control for a Resource,Information Disclosure,Diagram 1,HTTPS,High,Mitigated,Improper data protection of Load balancer can allow an attacker to read information not intended for disclosure. Review authorization settings.,"Control de acceso y políticas de mínimo privilegio implementadas (REQS1, REQS8)."
24,Potential Process Crash or Stop for Web Application,Denial Of Service,Diagram 1,HTTPS,High,Mitigated,"Web Application crashes, halts, stops or runs slowly; in all cases violating an availability metric.",Amenaza mitigada mediante controles definidos en SDL e ISO 12207.
25,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Protegido mediante el uso de HTTPS (REQS4), mitigando el riesgo de intercepción (RIDT)."
26,Data Store Inaccessible,Denial Of Service,Diagram 1,HTTPS,High,Not Started,An external agent prevents access to a data store on the other side of the trust boundary.,
27,Web Application May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTPS,High,Mitigated,Load balancer may be able to remotely execute code for Web Application.,Amenaza mitigada mediante controles definidos en SDL e ISO 12207.
28,Elevation by Changing the Execution Flow in Web Application,Elevation Of Privilege,Diagram 1,HTTPS,High,Mitigated,An attacker may pass data into Web Application in order to change the flow of program execution within Web Application to the attacker's choosing.,Amenaza mitigada mediante controles definidos en SDL e ISO 12207.
29,Spoofing of Source Data Store SQL Repository,Spoofing,Diagram 1,HTTPS,High,Mitigated,SQL Repository may be spoofed by an attacker and this may lead to incorrect data delivered to Security Server. Consider using a standard authentication mechanism to identify the source data store.,Evaluación de riesgos y pruebas de seguridad para cada módulo nuevo (REQS10).
30,Data Store Inaccessible,Denial Of Service,Diagram 1,HTTPS,High,Mitigated,An external agent prevents access to a data store on the other side of the trust boundary.,Cifrado en reposo de información personal sensible (REQS4).
31,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Protegido mediante el uso de HTTPS (REQS4), mitigando el riesgo de intercepción (RIDT)."
32,Potential Excessive Resource Consumption for Web Application or Load balancer,Denial Of Service,Diagram 1,HTTPS,High,Mitigated,"Does Web Application or Load balancer take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",Mitigación de ataques de denegación de servicio a través de controles de rendimiento (REQS6).
33,Authorization Bypass,Information Disclosure,Diagram 1,HTTPS,High,Mitigated,"Can you access Load balancer and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.","Separación de funciones y control de permisos (REQS3, REQS8)."
